法規名稱,條號,相似度,比對結果,次要來源網址
農藥管理法,第50條,0.543,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第51條,0.988,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第52條,0.484,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第53條,0.985,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第53條,0.04,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第54條,0.99,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第55條,0.994,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第56條,0.987,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第57條,0.984,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第58條,1.0,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥管理法,第59條,0.355,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL014387
農藥許可證申請及核發辦法,第1條,1.0,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第2條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第3條,1.0,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第4條,0.965,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第5條,0.987,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第6條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第7條,0.993,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第8條,1.0,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第9條,0.99,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第10條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第11條,0.985,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第12條,0.985,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第13條,0.977,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第14條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第15條,1.0,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第16條,0.986,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第17條,1.0,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第18條,0.99,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第19條,0.986,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第20條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第21條,0.991,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥許可證申請及核發辦法,第22條,0.118,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL027761
農藥管理人員訓練及管理辦法,第1條,1.0,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第2條,0.988,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第3條,0.991,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第4條,0.953,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第5條,0.944,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第6條,0.99,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第7條,0.965,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第8條,0.991,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第9條,0.986,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第10條,0.96,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第11條,0.991,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第12條,0.554,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第13條,0.959,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第14條,0.957,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第15條,0.961,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第16條,0.99,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第17條,0.974,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥管理人員訓練及管理辦法,第18條,0.119,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL045708
農藥使用及農產品農藥殘留抽驗辦法,第1條,1.0,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第2條,0.986,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第3條,0.995,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第4條,0.914,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第5條,0.956,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第6條,0.93,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第6條,0.231,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第7條,0.988,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第8條,0.989,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第9條,0.962,一致,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第9條,0.144,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第9條,0.14,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
農藥使用及農產品農藥殘留抽驗辦法,第10條,0.119,內容有差異,https://law.moa.gov.tw/LawContent.aspx?id=FL014395
